username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Steven Palmer Peterson,27577736,"Glendale, CA",2023-01-21 22:02:24,Sleepless in Seattle has to be at least one of them for me. The ability to make it work so excellently despite the… https://t.co/Uye64vZ4ca,0,Twitter Web App,
claire rousay,2241698233,LA,2023-01-21 21:42:06,@2literpowerade i’m also in seattle,0,Twitter Web App,
ShowRoom LA,1428062359445065730,"Los Angeles, CA",2023-01-21 21:37:38,"Seattle Seahawks Geno Smith |

Wearing Chrome Hearts Trucker w/ Chrome Hearts Camo Zip-Up layered by Supreme Fur Bo… https://t.co/FmymDI2AJz",0,Hootsuite Inc.,
Slippin M,977754842222419969,Los Angeles,2023-01-21 21:22:17,"Nothing Hill, Bridget Jones’s Diary, Sleepless in Seattle https://t.co/uqYZUcA3RO",0,Twitter for iPad,
rocki one,38869503,Los Angeles,2023-01-21 21:14:23,"@ariivory Seattle (coffee) to Sparks (battery)... 😤 🤣 Have to give it to her though, her emoji game is tight.",1,Twitter Web App,
Angie Seibold,315946152,"Los Angeles, CA",2023-01-21 21:08:58,"Say Anything…
Sleepless in Seattle
My Best Friend’s Wedding https://t.co/iITH63AenW",0,Twitter for iPhone,
Jelena Jensen,31439804,"Los Angeles, CA",2023-01-21 20:59:20,Where are my Seattle people? Fun Fact: The only time I’ve ever lived outside of California was when I lived in Wash… https://t.co/iWq0nW2mNp,2,Twitter for iPhone,
WNBAJones,559676168,Los Angeles,2023-01-21 20:50:48,"Yellow and green.  Looks like Seattle, Liberty fans. #WNBAFreeAgency https://t.co/lW5BDJxjvg",0,Twitter for iPad,
Tony T,14900401,Las Vegas and Los Angeles,2023-01-21 20:44:35,Colorado Avalanche vs Seattle Kraken 1/21/2023 NHL Picks and Predictions on Morning Steam Show #NHL #NHLPicks… https://t.co/GWb9NK5uQu,0,Twitter Web App,
Jai ✨,84722390,"Los Angeles, CA",2023-01-21 20:25:30,Me 2 years ago would never believe I’d be living the life I live now. Shit little me would never believe we moved o… https://t.co/QEfa8Bjb1i,0,Twitter for iPhone,
Anthony Thomas,154851964,"Los Angeles, CA",2023-01-21 20:03:54,"@BovadaOfficial NBA - Memphis Grizzlies
NFL - Jacksonville Jaguars
NHL - Seattle Kraken
CFL - BC Lions",0,Twitter Web App,
Amy,81504723,"Thousand Oaks, CA",2023-01-21 19:52:59,"When Harry Met Sally
Sleepless in Seattle
Something's Gotta Give https://t.co/mlrS5wjagj",0,Twitter for iPhone,
"Rachel ""proofreader, crafter, writer"" Olivier",253853456,"Los Angeles, CA",2023-01-21 19:14:36,"@fordhoIden I think there should be an old school vs modern category. Old School: How to Marry a Millionaire, Gentl… https://t.co/UgZ5JLHLml",0,Twitter for iPhone,
Secret Movie Club,729107010139004929,"Los Angeles, CA",2023-01-21 19:02:14,"Come watch the gold standard of romantic comedies When Harry Met Sally and Sleepless in Seattle, Mon 2/20 &amp; Tues 2/… https://t.co/e1SquR8BIA",2,LaterMedia,
Gabriel Comer,914537620620820481,"Los Angeles, CA",2023-01-21 19:02:14,"The Democrat idea of a successful U.S.!The Democrat Experiment 🧪, Tax payer money paying for Junky’s drug of choice… https://t.co/ki9O0Vwebx",0,Twitter for iPhone,
Bl8knstuff,1335040296753590273,"Rancho Cucamonga, CA",2023-01-21 19:00:12,@FartyMcPooples @sewerdwyane @nigey_king @NUTTYxPROFESSOR He ran up the middle like a FB against Seattle and Wollen… https://t.co/Na0ywQkUmo,0,Twitter for iPhone,
Mrs. Dingers,269515121,"Lawndale, CA",2023-01-21 19:00:11,"You've Got Mail
13 Going on 30
The Big Sick
Sleepless in Seattle https://t.co/Kf59G39KVS",0,Twitter for Android,
perci.us,1580242038494097408,Los Angeles,2023-01-21 18:27:08,6/9: My disaster readiness plan focuses on my mother in Seattle where an earthquake along the Cascadia subduction z… https://t.co/u0QGC3jYrb,0,Twitter Web App,
Bridget O’Neill,15489716,"Los Angeles, CA",2023-01-21 18:26:05,@michaelyichao Looks like one of those fancy guys over by volunteer park. At least 4 bedrooms. Probably has a garag… https://t.co/ZHxABeH7yK,0,Twitter for iPhone,
skrilla scrooge,440675213,Los Angeles,2023-01-21 18:20:45,"Vote for me to perform for  $50,000 in Prizes!  at #Seattle 4/30/23! https://t.co/5z9H2ES2jQ #Coast2Coast https://t.co/kDEQy5eZK3",0,Coast 2 Coast Mixtapes,
Kasia Givenrod,1440162671131648001,"Brea, CA",2023-01-21 18:11:11,Can’t wait to present with my fave APEs in Seattle!!! @JenHeebink @SunPrairieAPE @RockCreekFCPSPE #adaptedpe… https://t.co/Yv0FcVmLLm,1,Twitter for iPhone,
Bl8knstuff,1335040296753590273,"Rancho Cucamonga, CA",2023-01-21 18:06:50,@MikeyChovanec @BoxingAddiction @HoustonTexans @DRyans59 Bro you lied and try to say Patrino was fired. He quit aft… https://t.co/DC4AAPkTvc,0,Twitter for iPhone,
Joe Halsey,1516453763778633730,"Pasadena, California",2023-01-21 17:37:13,"Thanks to @GovInslee @kcexec @SeattleCouncil, downtown Seattle has no future. Stores/restaurants boarded up. Nothin… https://t.co/8QayrHwtmV",0,Twitter for Mac,
UCLA Gymnastics,834024326,"Los Angeles, CA",2023-01-21 17:15:00,"#Pac12gym season is officially ON! 

🆚 @UWGymnastics
📍: Seattle, Wash. (Alaska Airlines Arena) 
⏲: 2PM PT
📺:… https://t.co/7On3c8JtU6",12,TweetDeck,
Bruce Dickson,694652896202240000,"Pasadena, CA",2023-01-21 16:48:11,@marwilliamson Until MK Shama in Seattle started a new third party 😀,0,Twitter Web App,
UCLA W. Basketball,327099499,"Westwood, Los Angeles, CA",2023-01-21 16:45:00,ICYMI: Our recap of last night's victory over Washington dropped late in the evening. Read how the Bruins were able… https://t.co/0wkbgiRafs,2,Twitter Web App,
NewsfeedsMedia,1007725923720835072,"Los Angeles, CA",2023-01-21 16:41:10,"Crime-ridden Seattle loses Nike store and multiplex cinema - as number of homeless deaths soar
https://t.co/6sLtnaamPK",0,Next Newsfeeds.media,
Austyn,1323447498413801472,"Los Angeles, CA",2023-01-21 16:39:57,"My Best Friend’s Wedding, Serendipity, Sleepless in Seattle https://t.co/l2LQnsH8zW",0,Twitter for iPhone,
Seattle Education,1580416905248112640,"La Palma, California",2023-01-21 16:23:19,"Seattle University Merit Scholarship Calculator For International Students
The institution has developed the Seattl… https://t.co/pPou7i0KUS",0,Twitter Web App,
6’3” That/Guy,243039524,"Los Angeles, CA",2023-01-21 16:16:12,@brother_boarder I grew up on bougie seafood with my dad spearfishing in Seattle and never really liked “chilean se… https://t.co/5APBCRTZO8,0,Twitter for iPhone,
claire rousay,2241698233,LA,2023-01-21 15:43:58,"playing the neptune in seattle tonight , if you want to come hmu for list https://t.co/iOARpLovIM",0,Twitter Web App,
(조선) 레닌 and the Union of Sino Socialist Republics,1586586714411216896,"Los Angeles, CA",2023-01-21 15:31:23,did LA turn into seattle or something why is it so fucking cold,0,Twitter for iPhone,
The State of Myles,4725734779,"Los Angeles, CA",2023-01-21 13:23:02,@Ninergirl99 Being in/from LA I saw &amp; met him at volunteer programs for kids (he started when he was still at Stanf… https://t.co/xLsq4SY4iu,0,Twitter Web App,
flipboitamidles (DAMN%),19516129,"Pomona, CA",2023-01-21 11:34:04,on the way to seattle,0,Twitter for iPhone,
flipboitamidles (DAMN%),19516129,"Pomona, CA",2023-01-21 07:52:10,going to seattle tomorrow and i should adventure the city but lowkey wanna relax at the hotel lol,0,Twitter for iPhone,
Deux.,92322775,Westmont,2023-01-21 07:19:13,"@jamineshakur 😭😭😭 Wyo next Friday? Come to Everett, we can hit Seattle. I land at 10pm or some shit",0,Twitter for iPhone,
Clayton,1610794237188255744,"Los Angeles, CA",2023-01-21 06:43:23,I’ll never not want one of these https://t.co/V3LaXc6H8D https://t.co/MlOYTt5QpB,0,Twitter for iPhone,
Josie Huang,38602009,Los Angeles,2023-01-21 06:10:00,"@MLB Nelson called out the ""embarrassing lack of representation"" in MLB's broadcast booths. He's now one of the few… https://t.co/XIINrxIkKq",2,Twitter Web App,
Flako©,478933983,"Los Angeles, CA",2023-01-21 05:38:18,@apupusamadeinla Dude I fell inlove when I went to Seattle it’s different out there,0,Twitter for iPhone,
Celeste Irwin 🏳️‍⚧️,1368778520,"Rancho Cucamonga, CA",2023-01-21 05:32:56,"@JasonVollers @Atticus59914029 100%. I lived in Seattle in his hay day, and he pretty much owned that town. Such gr… https://t.co/JOmiTghf2K",0,Twitter for iPhone,
erick,777426236,"Los Angeles, CA",2023-01-21 05:10:27,"@chelsuwu Happy friendaversary!! 

Have a fun trip in Seattle!! It’s an amazing city!😎",0,Twitter for iPhone,
Gavin Carlson,1328570245301358592,"Los Angeles, CA",2023-01-21 05:01:52,Breaking: No. 9 UCLA WBB uses a 17-0 run to eliminate a 12-point 2nd-quarter deficit and survive Washington's upset… https://t.co/ZpuTMdLjE8,3,Twitter Web App,
Jo Nathan,779415894,"Stoney Creek, ONT.",2023-01-21 04:32:15,@CHCHNews @eric_vienneau Is it from Seattle?,0,Twitter for iPhone,
#CaliBernication,43414431,Los Angeles,2023-01-21 04:24:51,@shift_in2_turbo @ALeftistMoniker @AquaTeenMarxist @abetterworld98 @Vegan_Succubus @VeggieDoc @norcalbooknerd… https://t.co/KBU8ajnJRE,0,Twitter Web App,
Seattle Education,1580416905248112640,"La Palma, California",2023-01-21 04:15:05,Prospect students can receive distance education through North Seattle College Online Classes. They can find inform… https://t.co/Ux2aXoIZ9y,0,Twitter Web App,
Mike Abadir,2938587464,"Los Angeles, CA",2023-01-21 04:14:28,"@CardPurchaser I think the 10's are safe, as are the limited series x/x cards, but the mass produced J Rod's will d… https://t.co/536cTvEwCj",0,Twitter for Android,
4ever49ner,1020079328833384448,"Pomona, CA",2023-01-21 04:08:12,@Ninergirl99 He signed my husband’s hat at the last Seattle game. So cool. He stepped away from the broadcast stage… https://t.co/tSdXcT6D00,0,Twitter for iPhone,
blahaj rider,1010568011391160321,"Los Angeles, CA",2023-01-21 04:01:46,every person in seattle is in a polycule with someone who looks like this https://t.co/6KBpFdUwkB,2,Twitter for iPhone,
Ruth LeFaive,119450069,"Los Angeles, CA",2023-01-21 03:54:49,"@livesinpages My Seattle is detoured to Richmond, VA ….with a possible (in my dreams) swerve north?",0,Twitter Web App,
Joseph Jackson,197558884,"Los Angeles, CA",2023-01-21 03:28:44,"@Gingerdome81 Sleepless in Seattle
Addicted to Love
One Fine Day",0,Twitter for Android,
chels,1166045490,"Los Angeles, CA",2023-01-21 03:02:23,"people from seattle are so SWEET. Forget Starbs, go to Aroom for the best viet coffee &amp; the nicest people 🥺🤍 https://t.co/LrpkS3Dz2c",0,Twitter for iPhone,
chels,1166045490,"Los Angeles, CA",2023-01-21 03:00:22,seattle trip dump ✨ https://t.co/YbO2y67eLe,3,Twitter for iPhone,
Land of Troy,1270738250366201856,"Los Angeles, CA",2023-01-21 02:59:03,@breidenfehoko4 Seattle dogs the way to go!,0,Twitter for iPhone,
