username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Scott,828271606472572931,"Oswego, IL",2023-01-21 17:40:30,Just saw a guy at the gym full head to toe in Sonics gear. 10 minute convo about DJ and Gus vs Westphal and Sobers. Seattle needs a Team,0,Twitter for iPhone,
NoOneButMe,1583248053187788808,"Chicago, IL",2023-01-21 17:39:36,"@fordhoIden Pretty Woman, Sleepless in Seattle, and While You Were Sleeping. Why is this even a question?",0,Twitter for Android,
David Braverman,453208373,Chicago,2023-01-21 17:08:52,"@JayCuda Great chart, but it doesn't tell the whole story. For example, both Chicago teams, both New York teams, Bo… https://t.co/qXXgtyAJ3Y",0,Twitter Web App,
DabCache,1290775841564229638,"Chicago, IL",2023-01-21 16:57:13,Yup! Is Seattle finished? Crime-ridden woke city's dying downtown loses flagship Nike store and multiplex cinema -… https://t.co/Bbrbs3cq2e,0,Twitter for iPhone,
Tracey Ryniec,162060435,"Chicago, IL",2023-01-21 16:56:36,"@AndyFanter @EricFinnigan If you are laid off, not nearly the community of Austin, Chicago, Seattle, Bay Area. BUT,… https://t.co/GlySwYzHRw",0,Twitter for Android,
𝓜𝓼. 𝓚𝓪𝓽𝓲𝓮,32882761,"Chicago, IL",2023-01-21 16:12:39,"Honestly, I'm glad. Socialist Alternative are parasites. They claim the hard work of others (like unions doing the… https://t.co/bscg5F7cFR",0,Twitter for Android,
Ramblin Grimace,2474388457,"Chicago, IL",2023-01-21 15:31:47,Who wants to go to Seattle to see a Stanley Cup game this summer? https://t.co/xl7umjf2ZW,0,Twitter for Android,
Peter Iannone,129874041,"Chicago, IL",2023-01-21 15:26:03,@Thomas_Carrieri The Patriots SB win over Seattle with Malcolm Butler's goal line interception.  I wide swing of emotions in an instant.,0,Twitter Web App,
David Calvillo,55677407,"Chicago, IL",2023-01-21 15:10:29,Flight to Seattle in 24hrs. Time to plan out how to pack my bag for a whole week’s worth of corporate AV work,0,Twitter for iPhone,
National Private Lending,1449082878139191301,Chicago IL,2023-01-21 14:44:28,Purchase or refinance a single rental property with National Private Lending Rental Property Loan… https://t.co/VzMv076PPb,0,IFTTT,
mara ⚡️,1085289117380952064,"Chicago, IL",2023-01-21 14:37:48,Happy one year anniversary to this! The trip I took to Seattle was one of the highlights of 2022. Thanks to… https://t.co/5otkRPfxYP,1,Twitter for iPhone,
chuck swirsky,21112249,Chicago,2023-01-21 14:08:05,The first sportscaster who influenced me as a kid growing up in Seattle - Bill Schonely has passed away . He was TH… https://t.co/8lFknzdAxT,6,Twitter for iPhone,
Chirag Mehta (he/him),562247987,"Chicago,IL",2023-01-21 13:45:24,"@stephsterlingdc Walsh in Boston, Murray in Seattle, DeBlasio in NYC, Hodges in Mpls, among others were going to le… https://t.co/1O7SWlK379",0,Twitter for iPhone,
Titus Pullo,1858647584,"Chicago, IL",2023-01-21 11:29:07,@FredipusRex Ha not worried about never getting in again (always been busy) or anything like that. If anything it’s… https://t.co/75dnZPHGdv,0,Twitter for iPhone,
Steve Nanai,180211464,"Chicago, IL",2023-01-21 11:07:32,"Amazon, Microsoft job cuts deal another blow to ailing Seattle | The Spokesman-Review https://t.co/TbPbvgU8O5",0,dlvr.it,
